table_name,column_name,data_type,is_nullable,column_default
alert_preferences,user_id,uuid,NO,null
alert_preferences,email_alerts,boolean,YES,true
alert_preferences,sms_alerts,boolean,YES,false
alert_preferences,in_app_alerts,boolean,YES,true
alert_preferences,alert_threshold,text,YES,'high'::text
alert_preferences,email,text,YES,null
alert_preferences,phone,text,YES,null
alert_preferences,created_at,timestamp with time zone,YES,now()
alert_preferences,updated_at,timestamp with time zone,YES,now()
alerts,id,uuid,NO,gen_random_uuid()
alerts,user_id,uuid,NO,null
alerts,type,text,NO,null
alerts,severity,text,NO,null
alerts,title,text,NO,null
alerts,message,text,NO,null
alerts,data,jsonb,YES,null
alerts,read,boolean,YES,false
alerts,created_at,timestamp with time zone,YES,now()
algorithm_changes,id,uuid,NO,uuid_generate_v4()
algorithm_changes,detected_at,timestamp with time zone,YES,CURRENT_TIMESTAMP
algorithm_changes,confirmed_at,timestamp with time zone,YES,null
algorithm_changes,change_type,text,NO,null
algorithm_changes,metric_name,text,NO,null
algorithm_changes,before_value,numeric,NO,null
algorithm_changes,after_value,numeric,NO,null
algorithm_changes,percent_change,numeric,NO,null
algorithm_changes,affected_users_count,integer,NO,null
algorithm_changes,sample_size,integer,NO,null
algorithm_changes,confidence_score,integer,NO,null
algorithm_changes,niches_affected,ARRAY,YES,'{}'::text[]
algorithm_changes,status,text,NO,'detected'::text
algorithm_changes,recommendations,ARRAY,YES,'{}'::text[]
algorithm_changes,created_at,timestamp with time zone,YES,CURRENT_TIMESTAMP
algorithm_changes,updated_at,timestamp with time zone,YES,CURRENT_TIMESTAMP
audio_trends,track_key,character varying,NO,null
audio_trends,artist,character varying,YES,null
audio_trends,track,character varying,YES,null
audio_trends,usage_count,integer,YES,null
audio_trends,niches,ARRAY,YES,null
audio_trends,avg_engagement,numeric,YES,null
audio_trends,growth_rate,numeric,YES,null
audio_trends,top_posts,jsonb,YES,null
audio_trends,last_updated,timestamp without time zone,YES,null
brand_discovery_queue,id,uuid,NO,uuid_generate_v4()
brand_discovery_queue,brand_name,text,NO,null
brand_discovery_queue,website,text,YES,null
brand_discovery_queue,instagram_handle,text,YES,null
brand_discovery_queue,discovery_source,text,YES,null
brand_discovery_queue,discovery_data,jsonb,YES,null
brand_discovery_queue,processing_status,text,YES,'pending'::text
brand_discovery_queue,processing_notes,text,YES,null
brand_discovery_queue,processed_at,timestamp with time zone,YES,null
brand_discovery_queue,created_at,timestamp with time zone,YES,now()
